,Unnamed: 0,GameID,Date,Tournament,TournamentGame,Team,Opponent,Outcome,TeamPoints,TeamPointsAllowed,CanadaRank,OppRank,EloChange,OutcomeNum,goal_dif,canEloAdjusted,eloChangeAdjusted,TimeSinceAugFirst
0,0,1,2017-11-30,Dubai,1,Canada,Spain,W,19,0,86.31,72.13,0,1,19,86.31,0.0,121
1,1,2,2017-11-30,Dubai,2,Canada,Ireland,W,31,0,86.31,73.03,0,1,31,86.31,0.0,121
2,2,3,2017-11-30,Dubai,3,Canada,Fiji,W,31,14,86.31,44.41,0,1,17,86.31,0.0,121
3,3,4,2017-12-01,Dubai,4,Canada,France,W,24,19,86.31,87.25,0,1,5,86.31,1.094,122
4,4,5,2017-12-01,Dubai,5,Canada,Australia,L,7,25,87.404,78.68,0,-1,-18,87.404,-2.8085999999999984,122
5,5,6,2017-12-01,Dubai,6,Canada,Russia,L,5,10,84.5954,58.47,0,-1,-5,84.5954,-2.0,122
6,6,7,2018-01-26,Sydney,1,Canada,Fiji,W,24,12,82.5954,44.41,0,1,12,82.5954,0.0,178
7,7,8,2018-01-26,Sydney,2,Canada,Ireland,W,24,12,82.5954,73.03,0,1,12,82.5954,0.04346000000000028,178
8,8,9,2018-01-26,Sydney,3,Canada,Russia,W,19,5,82.63886,58.47,0,1,14,82.63886,0.0,178
9,9,10,2018-01-27,Sydney,4,Canada,France,W,28,12,82.63886,87.25,0,1,16,82.63886,2.1916710000000013,179
10,10,11,2018-01-27,Sydney,5,Canada,New Zealand,L,0,26,84.83053100000001,95.66,0,-1,-26,84.83053100000001,0.0,179
11,11,12,2018-01-28,Sydney,6,Canada,Russia,W,40,12,84.83053100000001,58.47,0,1,28,84.83053100000001,0.0,180
12,12,13,2018-04-13,Commonwealth,1,Canada,South Africa,W,29,0,84.83053100000001,68.51,0,1,29,84.83053100000001,0.0,255
13,13,14,2018-04-13,Commonwealth,2,Canada,Kenya,W,24,12,84.83053100000001,44.35,0,1,12,84.83053100000001,0.0,255
14,14,15,2018-04-14,Commonwealth,3,Canada,New Zealand,L,7,24,84.83053100000001,95.66,0,-1,-17,84.83053100000001,0.0,256
15,15,16,2018-04-15,Commonwealth,4,Canada,Australia,L,7,33,84.83053100000001,78.68,0,-1,-26,84.83053100000001,-2.4225796499999976,257
16,16,17,2018-04-15,Commonwealth,5,Canada,England,L,19,24,82.40795134999998,91.43,0,-1,-5,82.40795134999998,-0.09779513499999837,257
17,17,18,2018-04-21,Kitakyushu,1,Canada,Fiji,W,38,14,82.31015621499998,44.41,0,1,24,82.31015621499998,0.0,263
18,18,19,2018-04-21,Kitakyushu,2,Canada,England,L,19,21,82.31015621499998,91.43,0,-1,-2,82.31015621499998,-0.08801562149999853,263
19,19,20,2018-04-21,Kitakyushu,3,Canada,Russia,L,5,19,82.2221405935,58.47,0,-1,-14,82.2221405935,-2.0,263
20,20,21,2018-04-22,Kitakyushu,4,Canada,Ireland,L,19,24,80.2221405935,73.19,0,-1,-5,80.2221405935,-1.7032140593500005,264
21,21,22,2018-04-22,Kitakyushu,5,Canada,Japan,W,33,14,78.51892653415,62.99,0,1,19,78.51892653415,0.0,264
22,22,23,2018-05-12,Langford,1,Canada,Australia,L,7,22,78.51892653415,76.68,0,-1,-15,78.51892653415,-1.7758389801224987,284
23,23,24,2018-05-12,Langford,2,Canada,Spain,W,24,10,76.7430875540275,72.5,0,1,14,76.7430875540275,0.5756912445972503,284
24,24,25,2018-05-12,Langford,3,Canada,Ireland,W,19,17,77.31877879862475,73.19,0,1,2,77.31877879862475,0.5871221201375251,284
25,25,26,2018-05-13,Langford,4,Canada,USA,L,26,28,77.90590091876227,79.41,0,-1,-2,77.90590091876227,-0.8495900918762274,285
26,26,27,2018-05-13,Langford,5,Canada,England,W,35,12,77.05631082688605,91.43,0,1,23,77.05631082688605,3.0,285
27,27,28,2018-05-13,Langford,6,Canada,Ireland,W,29,12,80.05631082688605,73.19,0,1,17,80.05631082688605,0.4700533759670926,285
28,28,29,2018-06-08,Paris,1,Canada,Russia,W,31,5,80.52636420285316,58.47,0,1,26,80.52636420285316,0.0,311
29,29,30,2018-06-08,Paris,2,Canada,Fiji,W,21,12,80.52636420285316,44.41,0,1,9,80.52636420285316,0.0,311
30,30,31,2018-06-08,Paris,3,Canada,Australia,L,14,31,80.52636420285316,76.68,0,-1,-17,80.52636420285316,-2.076954630427971,311
31,31,32,2018-06-09,Paris,4,Canada,USA,W,26,24,78.44940957242517,79.41,0,1,2,78.44940957242517,1.0960590427574828,312
32,32,33,2018-06-09,Paris,5,Canada,New Zealand,L,7,34,79.54546861518266,95.66,0,-1,-27,79.54546861518266,0.0,312
33,33,34,2018-06-10,Paris,6,Canada,France,W,17,10,79.54546861518266,88.5,0,1,7,79.54546861518266,1.8954531384817344,313
34,34,35,2018-07-20,World Cup,1,Canada,Brazil,W,43,19,81.44092175366438,38.0,0,1,24,81.44092175366438,0.0,353
35,35,36,2018-07-20,World Cup,2,Canada,France,L,19,24,81.44092175366438,88.5,0,-1,-5,81.44092175366438,-0.2940921753664384,353
36,36,37,2018-07-21,World Cup,3,Canada,Spain,L,14,26,81.14682957829794,72.5,0,-1,-12,81.14682957829794,-1.8646829578297937,354
37,37,38,2018-07-21,World Cup,4,Canada,Russia,W,22,10,79.28214662046814,58.47,0,1,12,79.28214662046814,0.0,354
