xVal, yVal, degree, r2, rmse
normSoreness, normFatigue, 2, 0.16854967429853518, 0.9033575013918365
normSoreness, normFatigue, 3, 0.17006015472626201, 0.9025365719486311
normSoreness, normFatigue, 4, 0.17055326322782471, 0.9022684111987103
normSoreness, normDesire, 2, 0.09702753580052226, 0.9408536578361171
normSoreness, normDesire, 3, 0.09735543680398395, 0.940682813827439
normSoreness, normDesire, 4, 0.10223585110043043, 0.9381363274157384
normSoreness, normIrritability, 2, 0.032418630567133566, 0.9819871762899308
normSoreness, normIrritability, 3, 0.03261787177694686, 0.9818860672812905
normSoreness, normIrritability, 4, 0.034543628328234544, 0.980908265725734
normSoreness, normSleepHours, 2, 0.0011338446969086924, 0.9780197919269892
normSoreness, normSleepHours, 3, 0.001843402686714568, 0.9776723554666978
normSoreness, normSleepHours, 4, 0.0020137564689429732, 0.9775889230219283
normSoreness, normSleepQuality, 2, 0.019594649756118798, 0.981995418492479
normSoreness, normSleepQuality, 3, 0.01986261536093159, 0.9818612092191729
normSoreness, normSleepQuality, 4, 0.020514330099920652, 0.9815347244646507
normSoreness, MenstruationNumber, 2, 0.00044841702343612067, 0.3486519499940022
normSoreness, MenstruationNumber, 3, 0.000554110484162873, 0.3486335161252519
normSoreness, MenstruationNumber, 4, 0.0005547900767390868, 0.3486333975951783
normFatigue, normDesire, 2, 0.17044223675854964, 0.9017956586323999
normFatigue, normDesire, 3, 0.17050241420665846, 0.9017629491888505
normFatigue, normDesire, 4, 0.1708742559722647, 0.9015608083271118
normFatigue, normIrritability, 2, 0.09218025965334886, 0.9511781793201747
normFatigue, normIrritability, 3, 0.09220971365139041, 0.9511627488188138
normFatigue, normIrritability, 4, 0.09233746191827452, 0.9510958205482378
normFatigue, normSleepHours, 2, 0.037395679724302355, 0.9601031570708193
normFatigue, normSleepHours, 3, 0.037684532627811795, 0.9599590950784357
normFatigue, normSleepHours, 4, 0.038112628469872734, 0.9597455475331765
normFatigue, normSleepQuality, 2, 0.1420596292108267, 0.9186184788560888
normFatigue, normSleepQuality, 3, 0.14230117332089598, 0.9184891560556917
normFatigue, normSleepQuality, 4, 0.14342854510375913, 0.9178853198307455
normFatigue, MenstruationNumber, 2, 0.00027452223877810766, 0.3486822766525199
normFatigue, MenstruationNumber, 3, 0.00027698344816373677, 0.3486818474443827
normFatigue, MenstruationNumber, 4, 0.0004451365239876992, 0.3486525221263516
normDesire, normIrritability, 2, 0.11666322360262527, 0.9382643679754818
normDesire, normIrritability, 3, 0.1260690807253083, 0.9332556331480653
normDesire, normIrritability, 4, 0.12620943541142648, 0.9331806889744677
normDesire, normSleepHours, 2, 0.00026365971406716593, 0.9784457112843362
normDesire, normSleepHours, 3, 0.000703037710309995, 0.9782306772075785
normDesire, normSleepHours, 4, 0.0016808528069790496, 0.9777519592356363
normDesire, normSleepQuality, 2, 0.03521627084735923, 0.974140524703551
normDesire, normSleepQuality, 3, 0.03910728572266642, 0.9721741644763685
normDesire, normSleepQuality, 4, 0.03919352657097985, 0.9721305368139393
normDesire, MenstruationNumber, 2, 0.00025365769743490585, 0.3486859151802862
normDesire, MenstruationNumber, 3, 0.001084296589686895, 0.34854103229587113
normDesire, MenstruationNumber, 4, 0.001167671735395226, 0.34852648639092143
normIrritability, normSleepHours, 2, 0.0054773031348056556, 0.9758910701062076
normIrritability, normSleepHours, 3, 0.005760770582335373, 0.9757519817442735
normIrritability, normSleepHours, 4, 0.00604160923489816, 0.9756141636933635
normIrritability, normSleepQuality, 2, 0.0571290005694004, 0.9630143625256148
normIrritability, normSleepQuality, 3, 0.06372152915693075, 0.9596417716991388
normIrritability, normSleepQuality, 4, 0.06372236804314457, 0.9596413417894175
normIrritability, MenstruationNumber, 2, 3.478074077056803e-05, 0.34872408242930736
normIrritability, MenstruationNumber, 3, 0.00021136235215735155, 0.3486932908687858
normIrritability, MenstruationNumber, 4, 0.00045263232822978505, 0.34865121482644773
normSleepHours, normSleepQuality, 2, 0.11537381813541336, 0.9327956662582828
normSleepHours, normSleepQuality, 3, 0.1264879229963617, 0.9269175012315237
normSleepHours, normSleepQuality, 4, 0.12825670781561405, 0.9259785626300854
normSleepHours, MenstruationNumber, 2, 0.00028226050221602517, 0.3486809271817931
normSleepHours, MenstruationNumber, 3, 0.0003063947730116423, 0.3486767183884638
normSleepHours, MenstruationNumber, 4, 0.00036532726929028314, 0.3486664408933668
normSleepQuality, MenstruationNumber, 2, 0.00028132986323747833, 0.3486810894755954
normSleepQuality, MenstruationNumber, 3, 0.00028142151526955317, 0.3486810734924333
normSleepQuality, MenstruationNumber, 4, 0.00032000171402246647, 0.34867434544156367
